=== Case 0 ===
  Agent: Planner
  step 0: [1:0.3580, user:0.1162, \n\n:0.0622, 俍:0.0377, 0:0.0259]
  step 11: [\n\n:0.9932, \n:0.0067,  to:0.0000, \n\t\n:0.0000,  the:0.0000]
  step 12: [\n\n:0.9933, \n:0.0067, \n\n\n:0.0000, \n\t\n:0.0000, \n \n:0.0000]
  step 13: [\n\n:0.9999, \n:0.0001, \n\n\n:0.0000, <|im_end|>:0.0000,  \n\n:0.0000]
  step 14: [\n\n:0.9968, \n:0.0032, \n\n\n:0.0000, <|im_end|>:0.0000, \n \n:0.0000]
  step 15: [\n\n:1.0000, \n:0.0000, \n\n\n:0.0000, <|im_end|>:0.0000,  \n\n:0.0000]
  step 16: [\n\n:0.9954, \n:0.0046, \n\t\n:0.0000, <|im_end|>:0.0000, \n\n\n:0.0000]
  step 17: [\n\n:0.9999, \n:0.0001, \n\n\n:0.0000, <|im_end|>:0.0000,  \n\n:0.0000]
  step 18: [\n\n:0.9948, \n:0.0052, \n\t\n:0.0000, <|im_end|>:0.0000, \n\n\n:0.0000]
  step 19: [\n\n:0.9999, \n:0.0001, \n\n\n:0.0000, <|im_end|>:0.0000,  \n\n:0.0000]
  step 20: [\n\n:0.9932, \n:0.0067, \n\t\n:0.0000, \n\t\t\n:0.0000, \n\t\t\t\n:0.0000]
  step 21: [\n\n:0.9997, \n:0.0003, \n\n\n:0.0000, <|im_end|>:0.0000,  \n\n:0.0000]
  step 22: [\n\n:0.9397, \n:0.0530, ::0.0038, \n\t\n:0.0010, .:0.0005]
  step 23: [\n\n:0.9978, \n:0.0022, \n\n\n:0.0000, <space>:0.0000,  \n\n:0.0000]
  step 24: [\n\n:0.6424, \n:0.3439, <space>:0.0038,  (:0.0030, 的:0.0023]
  step 25: [\n\n:0.9909, \n:0.0076, <space>:0.0004,  \n\n:0.0002, \n\n\n:0.0001]
  step 26: [\n\n:0.7438, \n:0.2415, ::0.0064, .:0.0021, ,:0.0014]
  step 27: [\n\n:0.9883, \n:0.0086, <space>:0.0008,  \n\n:0.0003, \n\n\n:0.0001]
  step 28: [\n:0.4432, \n\n:0.4432,  (:0.0680, <space>:0.0221, .:0.0038]
  step 29: [\n\n:0.9688, \n:0.0157, <space>:0.0033,  \n\n:0.0010,  the:0.0009]
  step 30: [<space>:0.3501,  (:0.1654,  的:0.1137, \n\n:0.0781, \n:0.0781]
  step 31: [\n\n:0.9403, \n:0.0208, <space>:0.0072,  the:0.0028,  \n\n:0.0018]
  step 32: [\n\n:0.9963, \n:0.0036, \n\n\n:0.0000, <space>:0.0000,  \n\n:0.0000]
  step 33: [<space>:0.3142,  (:0.2773,  的:0.0619, 的:0.0482,  �:0.0292]
  step 34: [\n\n:0.9216, \n:0.0191, <space>:0.0109,  the:0.0035,  \n\n:0.0023]
  step 35: [\n\n:0.9936, \n:0.0059, <space>:0.0001, \n\n\n:0.0001,  \n\n:0.0000]
  step 36: [\n\n:0.9821, \n:0.0124, <space>:0.0013,  \n\n:0.0004, \n\n\n:0.0003]
  step 37: [\n\n:0.9866, \n:0.0097, <space>:0.0010,  \n\n:0.0003, \n\n\n:0.0002]
  step 38: [\n\n:0.9886, \n:0.0086, <space>:0.0007,  \n\n:0.0002, \n\n\n:0.0002]
  step 39: [\n\n:0.9855, \n:0.0097, <space>:0.0012,  \n\n:0.0004, \n\n\n:0.0003]

=== Case 50 ===
  Agent: Planner
  step 0: [</think>:0.9524,  to:0.0198, <|im_start|>:0.0154, -FIRST:0.0018, To:0.0011]
  step 1: [\n\n:1.0000, \n:0.0000, \n\n\n:0.0000, \n \n:0.0000, \n\t\n:0.0000]
  step 2: [\n\n:0.9705,  is:0.0138,  to:0.0058,  should:0.0024, :\n\n:0.0021]
  step 3: [\n\n:0.9825, \n\t\n:0.0028,  to:0.0024, \n:0.0024,  \n\n:0.0019]
  step 4: [\n\n:0.9753, \n\t\n:0.0139, \n:0.0058,  \n\n:0.0027, \n\t\t\n:0.0006]
  step 5: [\n\n:0.5226,  a:0.2179,  the:0.1321, \n:0.0624,  to:0.0334]
  step 6: [\n\n:0.9706, \n:0.0293, \n\t\n:0.0000,  to:0.0000,  the:0.0000]
  step 7: [\n\n:0.9998, \n:0.0002, \n\n\n:0.0000, \n\t\n:0.0000,  \n\n:0.0000]
  step 8: [\n\n:0.8670, \n:0.1330, \n\t\n:0.0000, ::0.0000, .:0.0000]
  step 9: [\n\n:0.9817, \n:0.0180, \n\t\n:0.0002,  to:0.0000,  is:0.0000]
  step 10: [\n\n:0.9996, \n:0.0004, \n\n\n:0.0000, \n\t\n:0.0000,  \n\n:0.0000]
  step 11: [::0.9614, \n\n:0.0200, \n:0.0137, :\n:0.0031, .:0.0011]
  step 12: [\n\n:0.9826, \n:0.0159, \n\t\n:0.0006,  the:0.0002,  to:0.0001]
  step 13: [\n\n:0.9994, \n:0.0006, \n\n\n:0.0000, \n\t\n:0.0000,  \n\n:0.0000]
  step 14: [::0.9040, \n\n:0.0450, \n:0.0397, :\n:0.0054, .:0.0042]
  step 15: [\n\n:0.9808, \n:0.0159, \n\t\n:0.0009,  the:0.0004,  to:0.0003]
  step 16: [\n\n:0.9993, \n:0.0007, \n\n\n:0.0000,  \n\n:0.0000, \n\t\n:0.0000]
  step 17: [::0.8985, \n\n:0.0574, \n:0.0348, .:0.0032, :\n:0.0029]
  step 18: [\n\n:0.9784, \n:0.0158, \n\t\n:0.0011,  the:0.0006,  \n\n:0.0005]
  step 19: [\n\n:0.9990, \n:0.0010, \n\n\n:0.0000,  \n\n:0.0000, \n\t\n:0.0000]
  step 20: [\n\n:0.5206, \n:0.4594,  (:0.0045, .:0.0045, <space>:0.0040]
  step 21: [\n\n:0.9693, \n:0.0178,  the:0.0016, \n\t\n:0.0016,  \n\n:0.0011]
  step 22: [\n\n:0.9985, \n:0.0015, \n\n\n:0.0000,  \n\n:0.0000, <space>:0.0000]
  step 23: [\n:0.5999, \n\n:0.2834,  for:0.0435,  to:0.0141, <space>:0.0097]
  step 24: [\n\n:0.9345, \n:0.0265,  the:0.0059,  \n\n:0.0025, <space>:0.0023]
  step 25: [\n\n:0.9907, \n:0.0086,  \n\n:0.0001, \n\n\n:0.0001, <space>:0.0001]
  step 26: [\n\n:0.9848, \n:0.0124,  \n\n:0.0003, <space>:0.0003,  the:0.0002]
  step 27: [\n\n:0.9485, \n:0.0223,  là:0.0027,  \n\n:0.0021, <space>:0.0021]
  step 28: [\n\n:0.8969, \n:0.0271,  là:0.0078,  cần:0.0060, <space>:0.0044]
  step 29: [\n\n:0.8461, \n:0.0290,  là:0.0146,  cần:0.0100, <space>:0.0069]
  step 30: [\n\n:0.7616, \n:0.0314,  là:0.0245,  cần:0.0168, <space>:0.0102]
  step 31: [\n\n:0.6796,  là:0.0360, \n:0.0318,  cần:0.0233, <space>:0.0133]
  step 32: [\n\n:0.5849,  là:0.0511,  cần:0.0310, \n:0.0291,  để:0.0177]
  step 33: [\n\n:0.4642,  là:0.0669,  cần:0.0406, \n:0.0279,  để:0.0262]
  step 34: [\n\n:0.4047,  là:0.0703,  cần:0.0427,  để:0.0293, \n:0.0259]
  step 35: [\n\n:0.3267,  là:0.0826,  cần:0.0471,  để:0.0344, <space>:0.0252]
  step 36: [\n\n:0.2746,  là:0.0837,  cần:0.0477,  để:0.0372, <space>:0.0272]
  step 37: [\n\n:0.2236,  là:0.0876,  cần:0.0531,  để:0.0389, <space>:0.0284]
  step 38: [\n\n:0.1955,  là:0.0923,  cần:0.0526,  để:0.0410, <space>:0.0282]
  step 39: [\n\n:0.1696,  là:0.0908,  cần:0.0517,  để:0.0429, <space>:0.0314]

=== Case 51 ===
  Agent: Planner
  step 0: [</think>:0.4643, <|im_start|>:0.4098, <think>:0.0712, \n\n\n:0.0028, \n\n:0.0019]
  step 1: [\n\n:0.9985, \n:0.0015, \n\n\n:0.0000, \n \n:0.0000, \n    \n:0.0000]
  step 2: [\n\n:0.9986, \n:0.0007,  is:0.0001,  that:0.0001,  plan:0.0001]
  step 3: [\n\n:0.9906, \n:0.0036,  plan:0.0032,  \n\n:0.0005, \n\t\n:0.0003]
  step 4: [\n\n:0.9919, \n:0.0052, \n\t\n:0.0013,  \n\n:0.0006,   \n\n:0.0003]
  step 5: [::0.7855, \n\n:0.1753, \n:0.0305, :\n:0.0041, .:0.0022]
  step 6: [\n\n:0.9399, \n:0.0601,  to:0.0000,   \n:0.0000,  the:0.0000]
  step 7: [\n\n:0.9959, \n:0.0041, \n\n\n:0.0000,   \n:0.0000, \n \n:0.0000]
  step 8: [ (:0.2429, <space>:0.1300,  related:0.0788, 的:0.0696,  multiple:0.0614]
  step 9: [\n\n:0.9807, \n:0.0180,  to:0.0005,  the:0.0003, .:0.0001]
  step 10: [\n\n:0.9981, \n:0.0019, \n\n\n:0.0000,   \n:0.0000,  \n\n:0.0000]
  step 11: [::0.5939, \n\n:0.2805, \n:0.1169, .:0.0066, ,:0.0005]
  step 12: [\n\n:0.9761, \n:0.0230,  to:0.0002, .:0.0002,  the:0.0001]
  step 13: [\n\n:0.9964, \n:0.0036, \n\n\n:0.0000, \n \n:0.0000,  \n\n:0.0000]
  step 14: [\n\n:0.9389, \n:0.0600,  the:0.0005, .:0.0003, ,:0.0001]
  step 15: [\n\n:0.9964, \n:0.0036, \n\n\n:0.0000, \n \n:0.0000,  \n\n:0.0000]
  step 16: [\n\n:0.7395, \n:0.2119, ::0.0368,  the:0.0044, .:0.0044]
  step 17: [\n\n:0.9788, \n:0.0203, .:0.0001, <space>:0.0001,  to:0.0001]
  step 18: [\n\n:0.9933, \n:0.0067, \n\n\n:0.0000, \n\t\n:0.0000,  \n\n:0.0000]
  step 19: [\n\n:0.9389, \n:0.0600, .:0.0003,  the:0.0003, ,:0.0002]
  step 20: [\n\n:0.9933, \n:0.0067, .:0.0000, ,:0.0000, \n\n\n:0.0000]
  step 21: [\n:0.5068, \n\n:0.4473,  (:0.0197, 的:0.0064, .:0.0034]
  step 22: [\n\n:0.9606, \n:0.0290,  a:0.0009, <space>:0.0009,  to:0.0009]
  step 23: [\n\n:0.9856, \n:0.0141, <space>:0.0000, .:0.0000, \n\t\n:0.0000]
  step 24: [\n:0.5080, \n\n:0.3956,  (:0.0253, 的:0.0174, <space>:0.0072]
  step 25: [\n\n:0.9432, \n:0.0323, <space>:0.0023,  a:0.0017,  to:0.0014]
  step 26: [\n\n:0.9562, \n:0.0289, <space>:0.0017, .:0.0016,  a:0.0008]
  step 27: [\n\n:0.9408, \n:0.0322, <space>:0.0030, .:0.0025,  a:0.0012]
  step 28: [\n\n:0.9297, \n:0.0318, <space>:0.0043, .:0.0031,  bir:0.0019]
  step 29: [\n\n:0.9165, \n:0.0314, <space>:0.0054, .:0.0037,  bir:0.0033]
  step 30: [\n\n:0.8968, \n:0.0327, <space>:0.0073,  bir:0.0050, .:0.0047]
  step 31: [\n\n:0.8859, \n:0.0343, <space>:0.0082,  bir:0.0060, .:0.0046]
  step 32: [\n\n:0.8667, \n:0.0336, <space>:0.0096,  bir:0.0085, .:0.0058]
  step 33: [\n\n:0.8528, \n:0.0331, <space>:0.0114,  bir:0.0095, .:0.0065]
  step 34: [\n\n:0.8280, \n:0.0342,  bir:0.0126, <space>:0.0126, .:0.0072]
  step 35: [\n\n:0.8142, \n:0.0358,  bir:0.0132, <space>:0.0132, .:0.0075]
  step 36: [\n\n:0.7968, \n:0.0350,  bir:0.0146, <space>:0.0146, .:0.0083]
  step 37: [\n\n:0.7976, \n:0.0329,  bir:0.0156, <space>:0.0146, .:0.0089]
  step 38: [\n\n:0.7763, \n:0.0341,  bir:0.0172, <space>:0.0151, .:0.0098]
  step 39: [\n\n:0.7533, \n:0.0352,  bir:0.0201, <space>:0.0166, .:0.0107]

=== Case 52 ===
  Agent: Planner
  step 0: [</think>:0.1518, 1:0.0921, DialogTitle:0.0493, inned:0.0248, <|im_start|>:0.0233]
  step 1: [\n\n:0.9999, \n:0.0001,   \n\n:0.0000,  \n\n:0.0000, \n \n:0.0000]
  step 2: [\n\n:0.9999, \n:0.0000, .:0.0000, .\n\n:0.0000,  to:0.0000]
  step 3: [\n\n:0.9985, .\n\n:0.0007, \n:0.0006, .:0.0001, \n\t\n:0.0000]
  step 4: [\n\n:0.6371, .\n\n:0.3410, .:0.0132, .\n:0.0049, \n:0.0023]
  step 5: [\n\n:0.9985, \n:0.0015,   \n:0.0000, .:0.0000, 2:0.0000]
  step 6: [\n\n:0.9999, \n:0.0001, .:0.0000, .\n\n:0.0000, \n\n\n:0.0000]
  step 7: [\n\n:0.9934, .:0.0022, \n:0.0013,   \n\n:0.0011, .\n\n:0.0005]
  step 8: [\n\n:0.9971, \n:0.0017, .\n\n:0.0006, .:0.0005, \n\t\n:0.0001]
  step 9: [\n\n:0.9211, .\n\n:0.0520, .:0.0191, \n:0.0048, .\n:0.0010]
  step 10: [\n\n:0.9089, .\n\n:0.0581, .:0.0214, \n:0.0061, .\n:0.0014]
  step 11: [\n\n:0.9294, .\n\n:0.0408, .:0.0170, \n:0.0055, \n\t\n:0.0020]
  step 12: [\n\n:0.9091, .\n\n:0.0513, .:0.0214, \n:0.0079, \n\t\n:0.0029]
  step 13: [\n\n:0.9219, .\n\n:0.0405, .:0.0169, \n:0.0080, \n\t\n:0.0043]
  step 14: [\n\n:0.9048, .\n\n:0.0450, .:0.0241, \n:0.0089, \n\t\n:0.0061]
  step 15: [\n\n:0.9121, .\n\n:0.0401, .:0.0189, \n:0.0089, \n\t\n:0.0079]
  step 16: [\n\n:0.8937, .\n\n:0.0445, .:0.0238, \n\t\n:0.0113, \n:0.0113]
  step 17: [\n\n:0.8883, .\n\n:0.0390, .:0.0268, \n\t\n:0.0163, \n:0.0112]
  step 18: [\n\n:0.8755, .\n\n:0.0436, .:0.0264, \n\t\n:0.0206, \n:0.0125]
  step 19: [\n\n:0.8655, .\n\n:0.0431, .:0.0296, \n\t\n:0.0231, \n:0.0140]
  step 20: [\n\n:0.8396, .\n\n:0.0474, \n\t\n:0.0369, .:0.0326, \n:0.0136]
  step 21: [\n\n:0.8268, .\n\n:0.0466, \n\t\n:0.0412, .:0.0363, \n:0.0151]
  step 22: [\n\n:0.7968, \n\t\n:0.0509, .\n\n:0.0509, .:0.0449, \n:0.0165]
  step 23: [\n\n:0.7871, \n\t\n:0.0570, .\n\n:0.0503, .:0.0444, \n:0.0163]
  step 24: [\n\n:0.7461, \n\t\n:0.0694, .\n\n:0.0612, .:0.0540, \n:0.0155]
  step 25: [\n\n:0.7275, \n\t\n:0.0767, .\n\n:0.0597, .:0.0597, \n:0.0171]
  step 26: [\n\n:0.6980, \n\t\n:0.0834, .\n\n:0.0736, .:0.0649, ..:0.0164]
  step 27: [\n\n:0.6769, \n\t\n:0.0916, .\n\n:0.0713, .:0.0713, ..:0.0180]
  step 28: [\n\n:0.6674, \n\t\n:0.0903, .:0.0797, .\n\n:0.0703, ..:0.0189]
  step 29: [\n\n:0.6135, \n\t\n:0.1066, .:0.0941, .\n\n:0.0830, ..:0.0210]
  step 30: [\n\n:0.6125, \n\t\n:0.1064, .:0.0939, .\n\n:0.0829, ..:0.0238]
  step 31: [\n\n:0.5638, \n\t\n:0.1258, .:0.1110, .\n\n:0.0865, ..:0.0248]
  step 32: [\n\n:0.5386, \n\t\n:0.1202, .:0.1202, .\n\n:0.0936, ..:0.0304]
  step 33: [\n\n:0.4991, \n\t\n:0.1430, .:0.1262, .\n\n:0.0983, ..:0.0319]
  step 34: [\n\n:0.5053, \n\t\n:0.1448, .:0.1277, .\n\n:0.0878, ..:0.0323]
  step 35: [\n\n:0.4583, \n\t\n:0.1488, .:0.1488, .\n\n:0.1023, ..:0.0376]
  step 36: [\n\n:0.4778, \n\t\n:0.1369, .:0.1369, .\n\n:0.1066, ..:0.0346]
  step 37: [\n\n:0.4463, \n\t\n:0.1642, .:0.1449, .\n\n:0.0996, ..:0.0366]
  step 38: [\n\n:0.4326, \n\t\n:0.1591, .:0.1591, .\n\n:0.0965, ..:0.0402]
  step 39: [\n\n:0.4237, \n\t\n:0.1559, .:0.1559, .\n\n:0.1071, ..:0.0394]

=== Case 53 ===
  Agent: Planner
  step 0: [</think>:0.5883, <|im_start|>:0.1158, \n\n\n:0.0902, \n\n:0.0703,  user:0.0122]
  step 1: [\n\n:0.9997, \n:0.0003, \n\n\n:0.0000,  is:0.0000,  \n\n:0.0000]
  step 2: [\n\n:0.8822,  is:0.0388,  to:0.0388,  plan:0.0207, \n:0.0032]
  step 3: [\n\n:0.9661,  plan:0.0177, \n:0.0057,  the:0.0019,  to:0.0016]
  step 4: [\n\n:0.9886, \n:0.0067, \n\t\n:0.0019,  \n\n:0.0004,  the:0.0004]
  step 5: [\n\n:0.9999, \n:0.0001, \n\n\n:0.0000, \n \n:0.0000, \n    \n:0.0000]
  step 6: [\n\n:0.9998, \n:0.0002, \n\n\n:0.0000, <|im_end|>:0.0000, \n\t\n:0.0000]
  step 7: [\n\n:1.0000, \n\n\n:0.0000, \n:0.0000, \n    \n:0.0000, \n\n    \n:0.0000]
  step 8: [ on:0.3805, \n\n:0.2037, .:0.1090, pose:0.0354, p:0.0243]
  step 9: [\n\n:0.9999, \n:0.0001, 的:0.0000,  is:0.0000,  to:0.0000]
  step 10: [\n\n:0.9997, \n:0.0001,  the:0.0001,  that:0.0000,  to:0.0000]
  step 11: [\n\n:0.8897, \n:0.0938, 的:0.0028,  (:0.0022, ::0.0012]
  step 12: [\n\n:0.9980, \n:0.0006,  the:0.0005,  that:0.0002,  to:0.0002]
  step 13: [\n\n:0.9999, \n:0.0001, \n\n\n:0.0000, \n\t\n:0.0000,  the:0.0000]
  step 14: [\n\n:0.9999, \n:0.0001, \n\n\n:0.0000, \n\t\n:0.0000,  \n\n:0.0000]
  step 15: [\n\n:0.9999, \n:0.0001, \n\n\n:0.0000, \n\t\n:0.0000,  \n\n:0.0000]
  step 16: [\n\n:0.9999, \n:0.0001, \n\n\n:0.0000, \n\t\n:0.0000,  \n\n:0.0000]
  step 17: [\n\n:0.3154, 的:0.2456, \n:0.2168,  (:0.0621, <space>:0.0202]
  step 18: [\n\n:0.9925,  the:0.0018, \n:0.0018,  to:0.0005,  that:0.0004]
  step 19: [\n\n:0.9993, \n:0.0007, \n\n\n:0.0000, \n\t\n:0.0000,  \n\n:0.0000]
  step 20: [\n\n:0.9999, \n:0.0001, \n\n\n:0.0000,  \n\n:0.0000, \n\t\n:0.0000]
  step 21: [的:0.5406, \n\n:0.0829,  (:0.0368, \n:0.0346, <space>:0.0325]
  step 22: [\n\n:0.9848, \n:0.0033,  the:0.0028, <space>:0.0006,  là:0.0004]
  step 23: [的:0.4844,  (:0.1573, \n\n:0.0954, \n:0.0954, <space>:0.0351]
  step 24: [\n\n:0.9691,  the:0.0054, \n:0.0051, <space>:0.0013,  là:0.0011]
  step 25: [\n\n:0.9948, \n:0.0046, \n\t\n:0.0001, \n\n\n:0.0001, <space>:0.0000]
  step 26: [\n\n:0.9923, \n:0.0043, <space>:0.0004,  the:0.0003,  \n\n:0.0002]
  step 27: [\n\n:0.9986, \n:0.0013, \n\n\n:0.0000, <space>:0.0000,  \n\n:0.0000]
  step 28: [\n\n:0.9978, \n:0.0019, <space>:0.0000, \n\n\n:0.0000,  the:0.0000]
  step 29: [\n\n:0.9977, \n:0.0019, <space>:0.0000, \n\n\n:0.0000,  \n\n:0.0000]
  step 30: [\n\n:0.9967, \n:0.0025, <space>:0.0001,  the:0.0001, \n\n\n:0.0001]
  step 31: [\n\n:0.9956, \n:0.0030, <space>:0.0002,  the:0.0001,  \n\n:0.0001]
  step 32: [\n\n:0.9901, \n:0.0043, <space>:0.0007,  the:0.0005,  \n\n:0.0003]
  step 33: [\n\n:0.9852, \n:0.0052, <space>:0.0011,  the:0.0007, :\n\n:0.0005]
  step 34: [\n\n:0.9586, \n:0.0073, <space>:0.0031,  the:0.0024,  là:0.0020]
  step 35: [\n\n:0.9249, \n:0.0085, <space>:0.0059,  là:0.0049,  the:0.0040]
  step 36: [\n\n:0.8827, \n:0.0098, <space>:0.0092,  là:0.0081,  the:0.0059]
  step 37: [\n\n:0.8527,  là:0.0107, <space>:0.0107, \n:0.0095,  the:0.0069]
  step 38: [\n\n:0.7944,  là:0.0165, <space>:0.0155, \n:0.0106,  the:0.0088]
  step 39: [\n\n:0.7450,  là:0.0211, <space>:0.0187,  the:0.0106, \n:0.0106]

=== Case 54 ===
  Agent: Planner
  step 0: [</think>:0.8129, \n\n:0.0667, <|im_start|>:0.0315, a:0.0090,  to:0.0055]
  step 1: [\n\n:0.9968, \n:0.0032, \n\n\n:0.0000, \n\t\n:0.0000, .:0.0000]
  step 2: [\n\n:0.9930, \n:0.0067, \n\t\n:0.0001, .\n\n:0.0001, .:0.0000]
  step 3: [\n\n:0.9188, \n:0.0587, .\n\n:0.0191, .:0.0026, .\n:0.0006]
  step 4: [\n\n:0.8107, \n\t\n:0.0968, \n:0.0754, .\n\n:0.0116, .:0.0023]
  step 5: [\n\n:0.7966, \n:0.2014, .:0.0009, .\n\n:0.0004, .\n:0.0002]
  step 6: [\n\n:0.9577, \n:0.0421, .:0.0001, \n\t\n:0.0001, .\n\n:0.0000]
  step 7: [\n\n:0.9394, \n:0.0601, .\n\n:0.0003, .:0.0002, .\n:0.0000]
  step 8: [\n\n:0.8326, \n:0.1447, .:0.0105, .\n\n:0.0092, .\n:0.0021]
  step 9: [\n\n:0.9049, \n:0.0743, .\n\n:0.0101, .:0.0069, .\n:0.0020]
  step 10: [\n\n:0.9280, \n:0.0524, .\n\n:0.0091, .:0.0055, \n\t\n:0.0026]
  step 11: [\n\n:0.9294, \n:0.0463, .\n\n:0.0103, .:0.0063, \n\t\n:0.0049]
  step 12: [\n\n:0.9316, \n:0.0464, .\n\n:0.0081, \n\t\n:0.0063, .:0.0049]
  step 13: [\n\n:0.9138, \n:0.0455, \n\t\n:0.0148, .\n\n:0.0130, .:0.0079]
  step 14: [\n\n:0.9251, \n:0.0406, \n\t\n:0.0169, .\n\n:0.0091, .:0.0043]
  step 15: [\n\n:0.8797, \n:0.0562, \n\t\n:0.0301, .\n\n:0.0142, .:0.0111]
  step 16: [\n\n:0.9104, \n:0.0453, \n\t\n:0.0243, .\n\n:0.0089, .:0.0054]
  step 17: [\n\n:0.8437, \n:0.0611, \n\t\n:0.0539, .\n\n:0.0155, .:0.0136]
  step 18: [\n\n:0.8475, \n\t\n:0.0614, \n:0.0542, .\n\n:0.0137, .:0.0107]
  step 19: [\n\n:0.8217, \n\t\n:0.0764, \n:0.0595, .\n\n:0.0150, .:0.0117]
  step 20: [\n\n:0.7887, \n\t\n:0.0942, \n:0.0647, .\n\n:0.0164, .:0.0164]
  step 21: [\n\n:0.7533, \n\t\n:0.1155, \n:0.0701, .:0.0201, .\n\n:0.0177]
  step 22: [\n\n:0.7382, \n\t\n:0.1283, \n:0.0687, .\n\n:0.0197, .:0.0197]
  step 23: [\n\n:0.7134, \n\t\n:0.1405, \n:0.0664, .\n\n:0.0244, .:0.0244]
  step 24: [\n\n:0.6688, \n\t\n:0.1691, \n:0.0705, .:0.0294, .\n\n:0.0259]
  step 25: [\n\n:0.6605, \n\t\n:0.1670, \n:0.0696, .:0.0329, .\n\n:0.0290]
  step 26: [\n\n:0.6255, \n\t\n:0.2031, \n:0.0659, .:0.0353, .\n\n:0.0275]
  step 27: [\n\n:0.5914, \n\t\n:0.2176, \n:0.0706, .:0.0378, .\n\n:0.0334]
  step 28: [\n\n:0.5617, \n\t\n:0.2342, \n:0.0671, .:0.0461, .\n\n:0.0359]
  step 29: [\n\n:0.5392, \n\t\n:0.2547, \n:0.0644, .:0.0502, .\n\n:0.0345]
  step 30: [\n\n:0.5161, \n\t\n:0.2438, \n:0.0698, .:0.0616, .\n\n:0.0424]
  step 31: [\n\n:0.4886, \n\t\n:0.2615, \n:0.0661, .:0.0661, .\n\n:0.0454]
  step 32: [\n\n:0.4712, \n\t\n:0.2858, \n:0.0638, .:0.0638, .\n\n:0.0438]
  step 33: [\n\n:0.4697, \n\t\n:0.2849, .:0.0720, \n:0.0561, .\n\n:0.0437]
  step 34: [\n\n:0.4366, \n\t\n:0.3001, .:0.0759, \n:0.0591, .\n\n:0.0460]
  step 35: [\n\n:0.4268, \n\t\n:0.2933, .:0.0840, \n:0.0578, .\n\n:0.0510]
  step 36: [\n\n:0.4049, \n\t\n:0.3154, .:0.0904, \n:0.0548, .\n\n:0.0484]
  step 37: [\n\n:0.3781, \n\t\n:0.3337, .:0.0956, .\n\n:0.0512, \n:0.0512]
  step 38: [\n\n:0.3616, \n\t\n:0.3191, .:0.1036, .\n\n:0.0555, \n:0.0555]
  step 39: [\n\n:0.3379, \n\t\n:0.3379, .:0.1097, .\n\n:0.0587, \n:0.0518]

=== Case 55 ===
  Agent: Planner
  step 0: [markdown:0.1668, 1:0.1012, Assistant:0.0788, user:0.0478, 0:0.0272]
  step 1: [\n\n:0.8510, \n:0.1479,   \n:0.0006,   \n\n:0.0003,  \n\n:0.0000]
  step 2: [\n\n:0.5592,  the:0.2641, \n:0.0972, .\n\n:0.0315,  to:0.0278]
  step 3: [\n\n:0.6965, .\n\n:0.0943,  plan:0.0505,  to:0.0210, \n:0.0210]
  step 4: [\n\n:0.6569, .\n\n:0.1142,  plan:0.0476,  is:0.0225,  to:0.0225]
  step 5: [\n\n:0.9999, \n:0.0001,  to:0.0000, .:0.0000, \n\n\n:0.0000]
  step 6: [\n\n:1.0000, \n:0.0000, \n\n\n:0.0000,  to:0.0000, \n    \n:0.0000]
  step 7: [\n\n:1.0000, \n\n\n:0.0000,  to:0.0000, \n:0.0000,  \n\n:0.0000]
  step 8: [\n\n:0.9983, \n:0.0017,  to:0.0000,  the:0.0000, \n\n\n:0.0000]
  step 9: [\n\n:0.9978, \n:0.0019,  to:0.0002, .:0.0000, ,:0.0000]
  step 10: [\n\n:0.9943, \n:0.0046,  to:0.0009, .:0.0001, ,:0.0000]
  step 11: [\n\n:0.9847, \n:0.0097,  to:0.0046, .:0.0004, ,:0.0002]
  step 12: [\n\n:0.9710, \n:0.0139,  to:0.0122, .:0.0011, ,:0.0005]
  step 13: [\n\n:0.9555,  to:0.0225, \n:0.0154, .:0.0027, ,:0.0010]
  step 14: [\n\n:0.9270,  to:0.0407, \n:0.0192, .:0.0055, ,:0.0018]
  step 15: [\n\n:0.8972,  to:0.0574, \n:0.0239, .:0.0088, ,:0.0029]
  step 16: [\n\n:0.8712,  to:0.0715, \n:0.0263, .:0.0124, ,:0.0040]
  step 17: [\n\n:0.8373,  to:0.0882, \n:0.0286, .:0.0174, ,:0.0064]
  step 18: [\n\n:0.8058,  to:0.1091, \n:0.0276, .:0.0215, ,:0.0079]
  step 19: [\n\n:0.7681,  to:0.1178, \n:0.0337, .:0.0298, ,:0.0110]
  step 20: [\n\n:0.7635,  to:0.1171, .:0.0335, \n:0.0296, ,:0.0109]
  step 21: [\n\n:0.7335,  to:0.1275, .:0.0414, \n:0.0284, ,:0.0134]
  step 22: [\n\n:0.6804,  to:0.1518, .:0.0493, \n:0.0339, ,:0.0160]
  step 23: [\n\n:0.6535,  to:0.1652, .:0.0536, \n:0.0325, ,:0.0174]
  step 24: [\n\n:0.6315,  to:0.1597, .:0.0666, \n:0.0314, ,:0.0216]
  step 25: [\n\n:0.6286,  to:0.1589, .:0.0663, \n:0.0313, ,:0.0190]
  step 26: [\n\n:0.5694,  to:0.1849, .:0.0771, \n:0.0321, ,:0.0250]
  step 27: [\n\n:0.5517,  to:0.1791, .:0.0846, \n:0.0311, ,:0.0275]
  step 28: [\n\n:0.5389,  to:0.1750, .:0.0937, \n:0.0304, ,:0.0268]
